Tags;Checked;Name;Formula;Annot. Source: Predicted Compositions;Annot. Source: mzCloud Search;Annot. Source: mzVault Search;Annot. Source: ChemSpider Search;Annot. Source: MassList Search;Annot. DeltaMass [ppm];Calc. MW;m/z;RT [min];Area (Max.);# ChemSpider Results;# mzCloud Results;# mzVault Results;mzCloud Best Match;mzCloud Best Match Confidence;mzCloud Best Sim. Match;mzVault Best Match;Mass List Match: Endogenous Metabolites database 4400 compounds;Mass List Match: Natural Products Atlas 2020_06;MS2;Reference Ion;Area: JB10553.raw (F1);Area: JB10553_20250303023609.raw (F2);Peak Rating: JB10553.raw (F1);Peak Rating: JB10553_20250303023609.raw (F2)
;FALSO;Lactamide;C3 H7 N O2;Full match;Full match;No results;Not the top hit;Full match;0,21;89,0477;90,05497;1,193;42582384,04;19;3;0;98,9;9,9;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;42198895,82;42582384,04;7,3;8,4
;FALSO;L-Isoleucine;C6 H13 N O2;Full match;Full match;No results;Not the top hit;Full match;-0,29;131,09459;132,10187;2,918;100674004,3;52;4;0;98,8;9,9;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;100674004,3;88888056,57;5,7;6,2
;FALSO;L-Norleucine;C6 H13 N O2;Full match;Full match;No results;Not the top hit;Full match;-0,93;131,09451;132,10178;3,236;478211040,9;52;4;0;98,7;9,9;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;478211040,9;459293609,7;8,4;8,4
;FALSO;L-Isoleucine;C6 H13 N O2;Full match;Full match;No results;Not the top hit;Full match;-0,4;131,09458;132,10185;3,102;121418294,5;52;4;0;98,6;9,9;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;;121418294,5;;7,3
;FALSO;L-Pyroglutamic acid;C5 H7 N O3;Full match;Full match;No results;Full match;Full match;0,1;129,04261;130,04988;1,214;18827421,38;17;2;0;98,6;9,9;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;;18827421,38;;8,9
;FALSO;D-(-)-Glutamine;C5 H10 N2 O3;Full match;Full match;No results;Full match;Full match;0,15;146,06916;147,07643;1,214;100698526,3;29;4;0;98,4;93,7;49,7;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;100698526,3;;8,9;
;FALSO;Paraxanthine;C7 H8 N4 O2;Full match;Full match;No results;Full match;Full match;-0,72;180,0646;181,07187;4,19;41991111,25;6;9;0;98,2;63,5;76;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;41304284,3;41991111,25;8,4;8,4
;FALSO;D-(-)-Glutamine;C5 H10 N2 O3;No match;Invalid mass;No results;No match;No match;-280871,03;105,04255;106,04989;1,211;3423708,759;13;4;0;98,2;93,2;48,1;;Multiple matches found;No matches found;DDA for other ion;[M+H]+1;3423708,759;3253389,039;8,6;8,6
;FALSO;Kojic acid;C6 H6 O4;No match;Invalid mass;No results;No match;No results;-16,73;142,02423;143,03151;1,953;160265,3936;2;2;0;98,1;9,9;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;;160265,3936;;4,3
;FALSO;Theobromine;C7 H8 N4 O2;Full match;Full match;No results;Full match;Full match;-0,4;180,06465;181,07193;3,958;20883246,57;6;9;0;97,9;98,9;62,5;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;19002509,55;20883246,57;7,8;8,9
;FALSO;Pipecolic acid;C6 H11 N O2;Full match;Full match;No results;Full match;Partial match;0,26;129,07901;130,08629;1,518;4681243,845;54;4;0;97,8;9,9;;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;4681243,845;4179991,852;7;5,3
;FALSO;DL-Stachydrine;C7 H13 N O2;No match;Invalid mass;No results;No match;No results;-223811,27;111,06844;144,10193;1,629;33850351,26;28;3;0;97,8;9,9;;;No matches found;No matches found;DDA for other ion;[M+H+MeOH]+1;33731160,24;33850351,26;8,4;8,4
;FALSO;Uric acid;C5 H4 N4 O3;Full match;Full match;No results;Full match;Full match;-0,8;168,0282;169,03548;2,402;144963207,3;4;1;0;97,8;92,2;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;144963207,3;135724462,6;8,4;8,4
;FALSO;L-Histidine;C6 H9 N3 O2;Full match;Full match;No results;Full match;Full match;-0,09;155,06946;156,07675;1,163;8804468,879;12;11;0;97,7;92,1;61,9;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;8804468,879;7983428,405;9,5;9,5
;FALSO;Uric acid;C5 H4 N4 O3;Full match;Full match;No results;Full match;Full match;-0,89;168,02819;169,03546;2,799;189622098,9;4;1;0;97,7;92;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;188125743;189622098,9;8,4;8,4
;FALSO;D-(+)-Proline;C5 H9 N O2;Full match;Full match;No results;Full match;Full match;-0,06;115,06332;116,0706;1,411;256331488,4;30;2;0;97,5;9,9;;;Multiple matches found;Single match found;DDA for preferred ion;[M+H]+1;256331488,4;252741866,4;9,5;8,4
;FALSO;Indole-3-acetic acid;C10 H9 N O2;Full match;Full match;No results;Full match;Full match;-0,15;175,0633;176,07058;6,017;4584430,39;31;2;0;97,5;9,9;;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;4442144,213;4584430,39;8;8
;FALSO;Triethyl phosphate;C6 H15 O4 P;Full match;Full match;No results;Full match;Full match;0,29;182,07085;183,07812;6,12;448536,4135;4;1;0;97,2;9,9;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;425105,6365;448536,4135;6,3;6,3
;FALSO;Ethylenediaminetetraacetic acid (EDTA);C10 H16 N2 O8;Full match;Full match;No results;Full match;No results;-0,74;292,09045;293,09766;2,125;405981131,6;3;1;0;97,1;90,6;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;405981131,6;;7,8;
;FALSO;Ethylenediaminetetraacetic acid (EDTA);C10 H16 N2 O8;Full match;Full match;No results;Full match;No results;-0,44;292,09054;315,07977;1,338;100922614,4;3;1;0;97,1;98,7;;;No matches found;No matches found;DDA for preferred ion;[M+Na]+1;100922614,4;;7,8;
;FALSO;Ethylenediaminetetraacetic acid (EDTA);C10 H16 N2 O8;Full match;Full match;No results;Full match;No results;-1,6;292,0902;293,09747;1,462;14585943391;3;1;0;97;98,6;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;14585943391;14099370403;8,4;8,4
;FALSO;Creatine;C4 H9 N3 O2;Full match;Full match;No results;Full match;Full match;0,22;131,06951;132,07678;1,414;53041815,02;10;1;0;97;58,3;;;Multiple matches found;Single match found;DDA for preferred ion;[M+H]+1;53041815,02;50972768,52;9,5;8,4
;FALSO;L-Pyroglutamic acid;C5 H7 N O3;Full match;Full match;No results;Full match;Full match;0,21;129,04262;130,0499;2,41;6356391,685;17;5;0;96,7;9,8;55,2;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;6356391,685;6292628,827;7,8;7,8
;FALSO;Palmitoyl sphingomyelin;C39 H79 N2 O6 P;Not the top hit;Full match;No results;Full match;No results;0,49;702,56792;703,57522;7,135;57806227,51;5;1;0;96,6;9,8;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;53546809,93;57806227,51;6,2;6,2
;FALSO;N3,N4-Dimethyl-L-arginine;C8 H18 N4 O2;Full match;Full match;No results;Partial match;Full match;0,04;202,14298;203,15026;1,548;7370631,111;8;1;0;96,5;98,5;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;6749182,584;7370631,111;8,9;9,5
;FALSO;1-Aminocyclohexanecarboxylic acid;C7 H13 N O2;Full match;Full match;No results;Partial match;Full match;0,22;143,09466;144,10194;1,96;4590679,264;27;2;0;96,3;55,7;;;Single match found;Multiple matches found;DDA for preferred ion;[M+H]+1;4590679,264;4278186,048;8;8
;FALSO;DL-?-Aminocaprylic acid;C8 H17 N O2;Full match;Full match;No results;Full match;Partial match;0,32;159,12598;160,13326;4,662;1119044,713;16;1;0;96,3;55,6;;;No matches found;Single match found;DDA for preferred ion;[M+H]+1;1015392,515;1119044,713;7,2;8,3
;FALSO;L-Tyrosine;C9 H11 N O3;Full match;Full match;No results;Full match;Partial match;-0,87;181,07374;182,08099;3,231;217695710,8;37;3;0;96,2;98,4;53,2;;Multiple matches found;Single match found;DDA for preferred ion;[M+H]+1;217695710,8;209883657,3;9,5;9,5
;FALSO;Choline;C5 H13 N O;Full match;Full match;No results;Partial match;Full match;0,15;103,09973;104,10701;1,243;34261133,1;17;1;0;96,1;9,8;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;34261133,1;31993421,11;8,4;8,9
;FALSO;1-Methylhistidine;C7 H11 N3 O2;Full match;Full match;No results;Full match;Full match;0,05;169,08513;170,09241;1,177;8508026,194;13;5;0;96,1;88;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;8508026,194;8275173,304;7,8;8,4
;FALSO;Phloroglucinol;C6 H6 O3;Full match;Full match;No results;Partial match;Full match;-0,12;126,03168;127,03896;0,386;47317585,29;24;6;0;96;87,9;;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;;47317585,29;;4
;FALSO;7-Methylxanthine;C6 H6 N4 O2;Full match;Full match;No results;Full match;Full match;-0,05;166,04907;167,05634;3,637;1022760,639;9;3;0;95,9;9,8;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;1004413,836;1022760,639;7,7;7,7
;FALSO;DL-Tryptophan;C11 H12 N2 O2;Full match;Full match;No results;Full match;Partial match;-1,08;204,08966;205,09689;4,131;299147204,5;32;4;0;95,9;87,6;44,6;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;263141397,2;299147204,5;9,5;9,5
;FALSO;3-Acetyl-2,5-dimethylfuran;C8 H10 O2;No match;Invalid mass;No results;No match;No match;130447,18;156,07867;157,08592;7,044;10669419,44;14;9;0;94,7;9,7;46,2;;No matches found;Multiple matches found;DDA for other ion;[M+H]+1;10669419,44;10425168,09;4;5,1
;FALSO;DL-Homoserine;C4 H9 N O3;Full match;Full match;No results;Full match;Full match;0,31;119,05828;120,06556;1,221;20527487,73;37;4;0;94,7;49,4;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;20527487,73;19810505,97;8,9;8,9
;FALSO;Maleic hydrazide;C4 H4 N2 O2;Full match;Full match;No results;Partial match;Partial match;0,27;112,02731;113,03458;3,22;1785912,829;12;3;0;94;9,7;;;Single match found;Single match found;DDA for preferred ion;[M+H]+1;1785912,829;1607251,648;7,7;7,2
;FALSO;3-Acetyl-2,5-dimethylfuran;C8 H10 O2;Full match;Full match;No results;Partial match;Partial match;0,03;138,06808;139,07535;7,055;20365136,72;62;4;0;93,9;9,7;45,7;;Single match found;Multiple matches found;DDA for preferred ion;[M+H]+1;20365136,72;;4;
;FALSO;2-Mercaptoethanol;C2 H6 O S;Full match;Full match;No results;Not the top hit;Full match;-0,03;78,01393;79,02121;1,357;364550209,4;3;1;0;93,8;9,7;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;364550209,4;;4,6;
;FALSO;NP-021074;C13 H20 O5;No match;Invalid mass;No results;No match;No results;85823,11;278,11304;279,12032;5,895;2287151,269;2;1;0;93,3;45,5;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;2258743,719;2287151,269;4,2;4,2
;FALSO;N-Ethylglycine;C4 H9 N O2;Full match;Full match;No results;Not the top hit;Full match;0,04;103,06333;104,07061;1,338;17995528,22;35;8;0;93,2;9,7;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;17995528,22;16561844,59;7,8;6,2
;FALSO;DL-Arginine;C6 H14 N4 O2;Full match;Full match;No results;Full match;Full match;-0,23;174,11164;175,11891;1,164;45831943,76;10;2;0;93,2;78,7;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;45831943,76;43566951,97;8,4;7,3
;FALSO;N,N-Dimethylaniline;C8 H11 N;Full match;Full match;No results;Partial match;Full match;0,18;121,08917;122,09645;7,5;84843802,84;46;10;0;93,1;9,7;48,1;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;77672731,03;84843802,84;6,2;6,2
;FALSO;Phloroglucinol;C6 H6 O3;Full match;Full match;No results;Partial match;Full match;0,28;126,03173;127,039;1,249;15813251,4;24;7;0;92,8;76,9;;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;14596962,08;15813251,4;4;4,6
;FALSO;N,N'-Diphenylguanidine;C13 H13 N3;Full match;Full match;No results;Partial match;No results;-0,21;211,1109;212,11818;4,936;4570455,315;9;3;0;92,3;75;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;4570455,315;4477253,275;8;8
;FALSO;3-Methylxanthine;C6 H6 N4 O2;Full match;Full match;No results;Partial match;Full match;0,04;166,04908;167,05636;3,565;841844,9691;9;3;0;92,2;9,6;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;820202,2656;841844,9691;7,4;6,1
;FALSO;Decanoylcarnitine;C17 H33 N O4;Full match;Full match;No results;Full match;Full match;-0,79;315,24071;316,24799;6,643;41642667,84;4;1;0;92;42,1;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;39500046,19;41642667,84;9,5;8,4
;FALSO;L-Ergothioneine;C9 H15 N3 O2 S;Full match;Full match;No results;Full match;Full match;0,16;229,08853;230,09581;1,676;4434909,094;9;1;0;91,6;90,9;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;4434909,094;4186092,058;8;8
;FALSO;Betaine;C5 H11 N O2;Full match;Full match;No results;Partial match;Full match;-0,03;117,07897;118,08625;1,317;46788134,25;40;3;0;91,4;9,6;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;46788134,25;44903028,3;7,8;7,8
;FALSO;Tributylamine;C12 H27 N;Full match;Full match;No results;Partial match;No results;0;185,21435;186,22163;5,898;1646697,527;7;4;0;90,8;38,8;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1565873,226;1646697,527;7,7;7,7
;FALSO;Acetylcholine;C7 H15 N O2;Full match;Full match;No results;Partial match;Full match;0,56;145,11036;146,11764;1,49;3587323,923;32;1;0;90,7;9,5;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;3064910,659;3587323,923;5,3;5,3
;FALSO;Acetyl-L-carnitine;C9 H17 N O4;Full match;Full match;No results;Full match;Full match;0,06;203,11577;204,12305;3,209;1920311,208;10;1;0;90,6;9,5;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;1894972,234;1920311,208;9,1;8
;FALSO;N,N-Dimethylaniline;C8 H11 N;Full match;Full match;No results;Partial match;Full match;0,12;121,08916;122,09644;3,576;5878067,899;46;5;0;90,3;9,5;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;5878067,899;4545281,913;5,7;5,3
;FALSO;Diisobutylphthalate;C16 H22 O4;Full match;Full match;No results;Full match;Partial match;-0,21;278,15175;279,15903;0,316;3883976,199;27;5;0;90,1;36,9;;;Single match found;Multiple matches found;DDA for preferred ion;[M+H]+1;3883976,199;;7,5;
;FALSO;Palmitoylcarnitine;C23 H45 N O4;Full match;Full match;No results;Full match;Full match;0,38;399,33501;400,34229;7,292;1467204,833;2;1;0;90;9,5;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;1467204,833;1326598,684;6,6;8,3
;FALSO;Diphenylamine;C12 H11 N;Full match;Full match;No results;Full match;Full match;-0,01;169,08915;170,09642;1,472;27244992,03;15;2;0;89,5;9,5;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;27244992,03;605198,829;3,5;5,8
;FALSO;L-Kynurenine;C10 H12 N2 O3;Full match;Full match;No results;Full match;Full match;-0,08;208,08478;209,09204;3,7;10680563,68;19;1;0;88,7;85,6;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;10122170,32;10680563,68;8,4;8,4
;FALSO;Crotonic acid;C4 H6 O2;No match;Invalid mass;No results;No match;No match;209336,03;104,04738;87,04409;3,221;13364448,81;32;1;0;88,3;9,4;;;Multiple matches found;Single match found;DDA for other ion;[M+H-H2O]+1;13364448,81;10919998;8,4;8,4
;FALSO;Propionylcarnitine;C10 H19 N O4;Full match;Full match;No results;Full match;Partial match;-0,23;217,13136;218,13863;3,376;5387918,179;5;1;0;88,2;35,4;;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;5344595,927;5387918,179;8;8
;FALSO;Cetrimonium;C19 H41 N;Full match;Full match;No results;Partial match;No results;0,05;283,32392;284,33119;7,343;2820558,981;2;2;0;87,6;9,4;47,8;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;2820558,981;2812656,923;7,5;8
;FALSO;Isoquinoline;C9 H7 N;Full match;Full match;No results;Not the top hit;Full match;1,23;129,05801;130,06529;4,132;779551,8631;4;4;0;86,5;9,3;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;752821,8219;779551,8631;6,8;7,4
;FALSO;Imidazolelactic acid;C6 H8 N2 O3;Full match;Full match;No results;Full match;Full match;0,11;156,05351;157,06079;1,478;1099283,739;16;1;0;86,5;34,4;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;929921,5139;1099283,739;5,5;2,3
;FALSO;Hexanoylcarnitine;C13 H25 N O4;Full match;Full match;No results;Full match;Full match;0,02;259,17836;260,18564;5,075;2858117,947;5;1;0;85,9;34;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;2684321,102;2858117,947;8;8
;FALSO;4-Hydroxybenzaldehyde;C7 H6 O2;Full match;Full match;No results;Partial match;Full match;0,15;122,0368;123,04407;3,232;1983612,155;10;1;0;84,9;9,2;;;Multiple matches found;Single match found;DDA for preferred ion;[M+H]+1;1983612,155;1630163,63;7,5;6,6
;FALSO;Ecgonine;C9 H15 N O3;Full match;Full match;No results;Not the top hit;Full match;0,13;185,10522;186,11249;1,957;10234771,2;23;1;0;84,9;80,1;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;10234771,2;;9,5;
;FALSO;1-Methyluric acid;C6 H6 N4 O3;Full match;Full match;No results;Full match;Full match;-0,19;182,04396;183,05123;3,542;908038,7459;8;2;0;84,5;33,2;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;861481,2573;908038,7459;8,3;8,3
;FALSO;N6-Acetyl-L-lysine;C8 H16 N2 O3;Full match;Full match;No results;Full match;Full match;-0,05;188,11608;189,12336;1,96;3166216,382;20;6;0;84,4;58,8;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;3123630,099;3166216,382;8;8
;FALSO;2-Aminoindan-2-carboxylic acid;C10 H11 N O2;Full match;Full match;No results;Partial match;Partial match;0,02;177,07898;178,08626;5,984;1252056,067;47;3;0;83,3;9,2;;;No matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;1228675,265;1252056,067;7,2;7,2
;FALSO;Hippuric acid;C9 H9 N O3;Full match;Full match;No results;Full match;Partial match;-0,03;179,05824;180,06551;4,83;2373928,935;27;1;0;83,1;9,2;;;Multiple matches found;Single match found;DDA for preferred ion;[M+H]+1;2289752,414;2373928,935;7,5;7,5
;FALSO;Methyl palmitate;C17 H34 O2;No match;Invalid mass;No results;No match;No match;-55501,87;255,25617;288,28966;6,871;1935442,713;7;3;0;83;32,2;;;Single match found;No matches found;DDA for other ion;[M+H+MeOH]+1;1707433,24;1935442,713;8,3;6,4
;FALSO;Methyl palmitate;C17 H34 O2;No match;Invalid mass;No results;No match;No results;63001,75;287,28247;288,28975;6,836;709002,9162;2;3;0;83;32,2;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;615379,9874;709002,9162;7,4;6,8
;FALSO;NP-004020;C17 H14 O6;No match;Invalid mass;No results;No match;No results;-20,73;314,07253;315,0798;1,816;104643072,7;1;5;0;82,9;56,8;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;96724064,28;104643072,7;4,6;5,7
;FALSO;N1-(3-chlorophenyl)acetamide;C8 H8 Cl N O;No match;Invalid mass;No results;No results;No results;-23,95;169,02539;170,03267;2,796;2976633,898;0;1;0;82,6;9,1;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;2849425,057;2976633,898;5,3;4,8
;FALSO;Prolylleucine;C11 H20 N2 O3;Full match;Full match;No results;Partial match;Partial match;-0,03;228,14739;229,15466;3,211;8617912,322;6;3;0;81,1;9,1;;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;8575988,632;8617912,322;7,8;7,8
;FALSO;Lorcaserin;C11 H14 Cl N;No match;Invalid mass;No results;No results;No results;-20,15;195,07755;196,08482;4,651;1562511,76;0;1;0;81;54,3;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1543731,291;1562511,76;7,2;7,7
;FALSO;1,5-Naphthalenediamine;C10 H10 N2;Full match;Full match;No results;Full match;No results;0,5;158,08448;159,09175;4,131;656201,3477;19;12;0;79,4;52,2;65,6;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;526732,8566;656201,3477;6,3;8,5
;FALSO;2-oxa-4-azatetracyclo[6.3.1.1~6,10~.0~1,5~]tridecan-3-one;C11 H15 N O2;Full match;Full match;No results;Partial match;Full match;-0,15;193,11025;194,11753;3,387;7027796,469;70;6;0;79,2;9;;;Single match found;Multiple matches found;DDA for preferred ion;[M+H]+1;6635455,655;7027796,469;7,8;6,2
;FALSO;TKK;C16 H33 N5 O5;No match;Invalid mass;No results;No match;No results;10,63;375,25216;393,28595;7,395;18370987,5;3;1;0;79,1;29,9;;;No matches found;No matches found;DDA for preferred ion;[M+NH4]+1;17463619,55;18370987,5;9,5;9,5
;FALSO;2-Amino-1,3,4-octadecanetriol;C18 H39 N O3;Full match;Full match;No results;Full match;Full match;-0,08;317,29297;318,30025;6,807;6200226,387;4;1;0;78,5;8,9;;;Single match found;Single match found;DDA for preferred ion;[M+H]+1;6028824,108;6200226,387;8,9;8,4
;FALSO;N,N-Diisopropylethylamine (DIPEA);C8 H19 N;Full match;Full match;No results;Full match;No results;0,24;129,15178;130,15906;7,383;44164614,05;16;3;0;77,8;8,9;50,2;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;34593184,06;44164614,05;5,1;5,1
;FALSO;Benzothiazole;C7 H5 N S;Full match;Full match;No results;Full match;No results;0,2;135,0143;136,02157;1,449;24862822,42;5;11;0;77,7;8,9;58,9;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;24862822,42;1682704,739;4;0,7
;FALSO;N,N-Diisopropylethylamine (DIPEA);C8 H19 N;Full match;Full match;No results;Full match;No results;-0,11;129,15174;130,15901;7,589;4776792,915;16;1;0;76,7;8,8;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;4776792,915;;5,3;
;FALSO;N3,N4-Dimethyl-L-arginine;C8 H18 N4 O2;No results;Full match;No results;Partial match;Full match;-0,07;202,14296;203,15024;1,487;1746773,124;9;1;0;76,5;67,9;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;1687236,333;1746773,124;7,2;7,2
;FALSO;Adenosine;C10 H13 N5 O4;Not the top hit;Full match;No results;Full match;Partial match;0,07;267,09677;268,10405;3,299;946828,0402;12;1;0;74,8;8,7;;;Multiple matches found;Single match found;DDA for preferred ion;[M+H]+1;946828,0402;846085,264;6,1;6,6
;FALSO;Methyl indole-3-acetate;C11 H11 N O2;Full match;Full match;No results;Not the top hit;Full match;-0,27;189,07893;190,0862;6,493;2051266,017;29;1;0;74,7;8,7;;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;2039384,88;2051266,017;8;8
;FALSO;methyl 2-(acetylamino)-4-amino-4-oxobutanoate;C7 H12 N2 O4;Full match;Full match;No results;Partial match;Full match;-0,16;188,07968;189,08695;1,578;94090824,75;7;3;0;74,6;45,7;42,7;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;94090824,75;92148407,02;6,2;6,2
;FALSO;Caprolactam;C6 H11 N O;Full match;Full match;No results;Partial match;No results;0,35;113,0841;114,09138;4,443;806117,5752;23;1;0;74,4;27;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;729682,3358;806117,5752;6,8;6,3
